1,Introduction,https://uefi.org/specs/UEFI/2.10/01_Introduction.html
1.1,Principle of Inclusive Terminology,https://uefi.org/specs/UEFI/2.10/01_Introduction.html#principle-of-inclusive-terminology
1.2,UEFI Driver Model Extensions,https://uefi.org/specs/UEFI/2.10/01_Introduction.html#uefi-driver-model-extensions
1.3,Organization,https://uefi.org/specs/UEFI/2.10/01_Introduction.html#organization
1.4,Goals,https://uefi.org/specs/UEFI/2.10/01_Introduction.html#goals
1.5,Target Audience,https://uefi.org/specs/UEFI/2.10/01_Introduction.html#target-audience
1.6,UEFI Design Overview,https://uefi.org/specs/UEFI/2.10/01_Introduction.html#uefi-design-overview
1.7,UEFI Driver Model,https://uefi.org/specs/UEFI/2.10/01_Introduction.html#uefi-driver-model
1.7.1,UEFI Driver Model Goals,https://uefi.org/specs/UEFI/2.10/01_Introduction.html#uefi-driver-model-goals
1.7.2,Legacy Option ROM Issues,https://uefi.org/specs/UEFI/2.10/01_Introduction.html#legacy-option-rom-issues
1.8,Migration Requirements,https://uefi.org/specs/UEFI/2.10/01_Introduction.html#migration-requirements
1.8.1,Legacy Operating System Support,https://uefi.org/specs/UEFI/2.10/01_Introduction.html#legacy-operating-system-support
1.8.2,Supporting the UEFI Specification on a Legacy Platform,https://uefi.org/specs/UEFI/2.10/01_Introduction.html#supporting-the-uefi-specification-on-a-legacy-platform
1.9,Conventions Used in this Document,https://uefi.org/specs/UEFI/2.10/01_Introduction.html#conventions-used-in-this-document
1.9.1,Data Structure Descriptions,https://uefi.org/specs/UEFI/2.10/01_Introduction.html#data-structure-descriptions
1.9.2,Protocol Descriptions,https://uefi.org/specs/UEFI/2.10/01_Introduction.html#protocol-descriptions
1.9.3,Procedure Descriptions,https://uefi.org/specs/UEFI/2.10/01_Introduction.html#procedure-descriptions
1.9.4,Instruction Descriptions,https://uefi.org/specs/UEFI/2.10/01_Introduction.html#instruction-descriptions
1.9.5,Pseudo-Code Conventions,https://uefi.org/specs/UEFI/2.10/01_Introduction.html#pseudo-code-conventions
1.9.6,Typographic Conventions,https://uefi.org/specs/UEFI/2.10/01_Introduction.html#typographic-conventions
1.9.7,Number formats,https://uefi.org/specs/UEFI/2.10/01_Introduction.html#number-formats
1.9.7.1,Hexadecimal,https://uefi.org/specs/UEFI/2.10/01_Introduction.html#hexadecimal
1.9.7.2,Decimal,https://uefi.org/specs/UEFI/2.10/01_Introduction.html#decimal
1.9.8,SI & Binary prefixes,https://uefi.org/specs/UEFI/2.10/01_Introduction.html#si-binary-prefixes
